unique_good_name;dealer_good_name
Varta Promotive HD I11 112.3;112025051 A742 VARTA Promotive HD I11 112Ah
Varta Moto 4Ah;504011002 A514 VARTA Powersports  4Ah R+
Varta AGM Moto 4Ah;504012003 A514 VARTA Powersports AGM 4Ah R+
Varta Moto 5Ah;505012003 A514 VARTA Powersports  5Ah R+
Varta AGM Moto 6Ah;506014005 A514 VARTA Powersports AGM 6Ah R+
Varta AGM Moto 7Ah;507901012 A514 VARTA Powersports AGM 7Ah R+
Varta AGM Moto 5Ah;507902011 A514 VARTA Powersports AGM 5Ah R+
Varta AGM Moto A8h;508901015 A514 VARTA Powersports AGM 8Ah R+
Varta Moto 9Ah;509014008 A514 VARTA Powersports  9Ah L+
Varta Moto 9Ah;509015008 A514 VARTA Powersports  9Ah R+
Varta AGM Moto 10Ah;510012009 A514 VARTA Powersports AGM 10Ah R+
Varta AGM Moto 11Ah;511901014 A514 VARTA Powersports AGM 11Ah R+
Varta AGM Moto 12Ah;512014010 A514 VARTA Powersports AGM 12Ah R+
Varta AGM Moto 12Ah;512901019 A514 VARTA Powersports AGM 12Ah R+
Varta Moto 14Ah;514013014 A514 VARTA Powersports 14Ah R+
Varta AGM Moto 14Ah;514901022 A514 VARTA Powersports AGM 14Ah R+
Varta Moto 18Ah;518015018 A514 VARTA Powersports 18Ah R+
Varta AGM Moto 18Ah;518901026 A514 VARTA Powersports AGM 18Ah R+
Varta Moto 19Ah;519013017 A514 VARTA Powersports 19Ah R+
Varta Moto 20Ah;520012020 A514 VARTA Powersports 20Ah R+
Varta Moto 25Ah;525015022 A514 VARTA Powersports 25Ah R+
Varta Moto 30Ah;530400030 A514 VARTA Powersports 30Ah R+
Energizer EP35JTP;535118030 6742 EP35J-TP ENERGIZER PLUS, 35Ah R+ ES
Energizer EP35JTP;535118030 6742 EP35J-TP ENERGIZER PLUS, 35Ah, R+ (тон.кл)
Energizer EP35JTP;535118030 6742 EP35J-TP ENERGIZER PLUS, 35Ah, R+ (тон.кл) 2019
Energizer EP35JTP;535118030 I162 EP35JTP ENERGIZER PLUS, 35Ah R+
Energizer EP35JXTP;535119030 6742 EP35JX-TP ENERGIZER PLUS, 35Ah,L+ (тон.кл) 2019
Energizer EP35JXTP;535119030 I162 EP35JXTP ENERGIZER PLUS, 35Ah L+
Varta Blue Dynamic A15 40.1;540127033 3132 VARTA Blue Dynamic A15 40Ah Jis L+
Varta Blue Dynamic B31 45.0;545155033 3132 VARTA Blue Dynamic B31 45Ah Jis R+(тон.кл)
Energizer EP45JTP;545155033 6742 EP45J-TP ENERGIZER PLUS, 45Ah, R+ (тон.кл)2019
Energizer EP45JTP;545155033 6742 EP45J-TP ENERGIZER PLUS, 45Ah, R+ ES
Energizer EP45JTP;545155033 I162 EP45JTP ENERGIZER PLUS, 45Ah, R+
Varta Blue Dynamic B32 45.0;545156033 3132 VARTA Blue Dynamic B32 45Ah Jis R+(тол.кл)
Energizer EP45JXTP;545157033 6742 EP45JX-TP ENERGIZER PLUS, 45Ah,L+ (тон.кл)2019
Energizer EP45JXTP;545157033 6742 EP45JX-TP ENERGIZER PLUS, 45Ah,L+ES
Energizer EP45JXTP;545157033 I162 EP45JXTP ENERGIZER PLUS, 45Ah,L+
Energizer E-L1400;545412040 6752 E-L1 400 ENERGIZER,45Ah.R+  2019
Energizer EP52L1;552400047 6742 EP52-L1 ENERGIZER PLUS, 52Ah, R+
Energizer EP52L1;552400047 6742 EP52-L1 ENERGIZER PLUS, 52Ah, R+2019
Energizer EP52L1;552400047 6742 EP52-L1 ENERGIZER PLUS, 52Ah,R+
Energizer EP52L1;55240047 I162 EP52L1 ENERGIZER PLUS, 52Ah,R+
Varta Blue Dynamic D43 60.1;560127054 3132 VARTA Blue Dynamic D43 60Ah St.L+
Energizer EP60L2X;560127054 6742 EP60-L2X ENERGIZER PLUS, 60Ah, L+ CZ
Energizer EP60L2X;560127054 6742 EP60-L2X ENERGIZER PLUS, 60Ah, L+ Стандарт
Energizer EP60L2X;560127054 6742 EP60-L2X ENERGIZER PLUS, 60Ah, L+ Стандарт 2019
Energizer EP60L2X;560127054 I162 EP60L2X ENERGIZER PLUS, 60Ah, L+
Varta Blue Dynamic D24 60.0;560408054 3132 VARTA Blue Dynamic D24 60Ah St.R+
Energizer EP60L2;560408054 6742 EP60-L2 ENERGIZER PLUS 60Ah, R+ CZ
Energizer EP60L2;560408054 6742 EP60-L2 ENERGIZER PLUS, 60Ah,R+. Стандарт
Energizer EP60L2;560408054 6742 EP60-L2 ENERGIZER PLUS, 60Ah,R+. Стандарт 2019
Energizer EP60L2;560408054 I162 EP60L2 ENERGIZER PLUS 60Ah, R+
Varta Blue Dynamic D24 60.0;560408054 VARTA Blue Dynamic D24 60Ah St R+
Varta Blue Dynamic D59 60.0;560409054 3132 VARTA Blue Dynamic D59 60Ah St.R+ низ.
Energizer EM60LB2;560409054 6732 EM60-LB2 ENERGIZER PREMIUM, 60Ah, R+
Energizer EM60LB2;560409054 6732 EM60-LB2 ENERGIZER PREMIUM, 60Ah, R+ 2019
Energizer EM60LB2;560409054 6732 EM60-LB2 ENERGIZER PREMIUM, 60Ah, R+ CZ
Energizer EM60LB2;560409054 I172 EM60LB2 ENERGIZER PREMIUM, 60Ah, R+
Varta Blue Dynamic D47 60.0;560410054 3132 VARTA Blue Dynamic D47  60Ah Jis R+
Energizer EP60J;560412051 6742 EP60J ENERGIZER PLUS, 60Ah, Jis  R+
Energizer EP60J;560412051 6742 EP60J ENERGIZER PLUS, 60Ah, Jis R+2019
Energizer EP60J;560412051 6742 EP60J ENERGIZER PLUS, 60Ah,R+ CZ
Energizer EP60J;560412051 I162 EP60J ENERGIZER PLUS 60Ah, R+
Energizer EP60JX;560413051 6742 EP60JX ENERGIZER PLUS, 60Ah, Jis L+
Energizer EP60JX;560413051 6742 EP60JX ENERGIZER PLUS, 60Ah, Jis L+ 2019
Varta Silver Dynamic D21 61.0;561400060 3132 VARTA Silver Dynamic D21 61Ah R+(низ)
VARTA Silver Dynamic D15 63.0;563400061 3132 VARTA Silver Dynamic D15 63Ah St.R+
Energizer EM63L2;563400061 6732 EМ63-L2 ENERGIZER PLUS,63 CZ R+
Energizer EM63L2;563400061 6732 EМ63-L2 ENERGIZER PLUS,63Ah  R+CZ
Energizer EP68J;568404055 6742 EP68J ENERGIZER PLUS, 68Ah, Jis R+
Energizer EP68J;568404055 6742 EP68J ENERGIZER PLUS, 68Ah, Jis R+2019
Energizer EP68J;568404055 6742 EP68J ENERGIZER PLUS, 68Ah, R+
Energizer EP68J;568404055 I162 EP68J ENERGIZER PLUS, 68 Jis R+
Energizer EP68JX;568405055 6742 EP68JX ENERGIZER PLUS, 68Ah,  L+
Energizer EP68JX;568405055 6742 EP68JX ENERGIZER PLUS, 68Ah, Jis L+
Energizer EP68JX;568405055 6742 EP68JX ENERGIZER PLUS, 68Ah, Jis L+2019
Energizer EP68JX;568405055 I162 EP68JX ENERGIZER PLUS, 68 Jis L+
Energizer EP70LB3;570144064 6742 EP70-LB3 ENERGIZER PLUS, 70Ah, R+St
Energizer EP70LB3;570144064 6742 EP70-LB3 ENERGIZER PLUS, 70Ah,R+ CZ
Energizer EP70LB3;570144064 I162 EP70LB3 ENERGIZER PLUS, 70Ah,R+
Energizer E-L3640;570409064 6752 E-L3 640 ENERGIZER  70Ah,R+
Energizer E-L3640;570409064 6752 E-L3 640 ENERGIZER  70Ah,R+ 2019
Energizer E-L3640;570409064 6752 E-L3 640 ENERGIZER  70Ah,R+ CZ
Energizer EP70L3X;570410064 6742 EP70-L3X ENERGIZER PLUS 70Ah,L+2019
Energizer EP70L3X;570410064 6752 EP70-L3X  ENERGIZER  70Ah,R+ CZ
Varta Blue Dynamic E23 70.0;570412063 3132 VARTA Blue Dynamic E23 70Ah Jis R+
Varta Blue Dynamic E23 70.0;570412063 VARTA Blue Dynamic E23 70Ah Jis R+
Varta Blue Dynamic E23 70.0;5704123063 3132 VARTA Blue Dynamic E23 70Ah Jis R+
Varta Blue Dynamic E24 70.1;570413063 3132 VARTA Blue Dynamic E24 70Ah Jis L+
Varta Blue Dynamic E24 70.1;570413063 VARTA Blue Dynamic E24 70Ah Jis L+
Energizer EA70L3;570901076 C572 ENERGIZER AGM,70Ah R+DE
VARTA Silver Dynamic AGM E39 70.0;570901076 D852 VARTA Silver DYN AGM E39 70Ah R+ AGM
Varta Blue Dynamic E43 72.0;572409068 3132 VARTA Blue Dynamic E43 72Ah R+
Varta Blue Dynamic E11 74.0;574 012 068 VARTA Blue Dynamic 74Ah St R+
Varta Blue Dynamic E11 74.0;574012068 3132 VARTA Blue Dynamic E11 74A St R+
Energizer EP74L3;574104068 6742 EP74-L3 ENERGIZER PLUS, 74Ah,
Energizer EP74L3;574104068 6742 EP74-L3 ENERGIZER PLUS, 74Ah, R+ 2019
Energizer EP74L3;574104068 6742 EP74-L3 ENERGIZER PLUS, 74Ah,R+
Energizer EP74L3;574104068 I162 EP74-L3 ENERGIZER PLUS, 74Ah,R+
Varta Blue Dynamic E38 74.0;574402075 3132 VARTA Silver Dynamic E38 74Ah R+ низ
Energizer EM74L3;577400078 6732 EM77-L3 ENERGIZER PREM  77Ah R+
Energizer EM74L3;577400078 6732 EM77-L3 ENERGIZER PREM  77Ah R+2019
Energizer EM77L3;577400078 I172 EM77L3 ENERGIZER PREMIUM  77Ah R+
Energizer EM80LB4;580406074 6732 EМ80-LB4 ENERGIZER PREMIUM 80Ah.R+2019
Energizer EM80LB4;580406074 I172 EM80LB4 ENERGIZER PREMIUM,80Ah R+
Energizer EA80L4;580901080 C572 ENERGIZER AGM,80Ah R+ DE
VARTA Silver Dynamic AGM F21 80.0;580901080 D852 VARTA Silver DYN AGM F21 80Ah St R+
Varta Silver Dynamic F18 85.0;585200080 3132 VARTA Silver Dynamic F18 85Ah R+ низ
Varta Silver Dynamic F19 85.0;585400080 3132 VARTA Silver Dynamic F19 85Ah St R+
Varta Blue Dynamic G8 95.1;595 405 08 VARTA Blue Dynamic  G8 95Ah Jis L+
Varta Blue Dynamic G3 95.0;595402080 3132 VARTA Blue Dynamic G3 95Ah St R+
Energizer EP95L5;595402080 6742 EP95 L5 ENERGIZER PLUS, 95Ah,R+  St
Energizer EP95L5;595402080 6742 EP95 L5 ENERGIZER PLUS, 95Ah,R+ St 2019
Varta Blue Dynamic G7 95.0;595404083 3132 VARTA Blue Dynamic G7 95Ah JisR+
Energizer EP95J;595404083 6742 ENERGIZER PLUS, 95Ah,R+ CZ
Energizer EP95J;595404083 6742 EP95J ENERGIZER PLUS, 95Ah, JIS,  R+
Energizer EP95J;595404083 6742 EP95J ENERGIZER PLUS, 95Ah, JIS, R+2019
Energizer EP95J;595404083 I162 EP95J ENERGIZER PLUS, 95Ah,R+
